description,amount,label,balance,date
pos purchase lekker biltong ball  [date],-30.0,Groceries,18107.85,2023-08-22 00:00:00
debicheck authentication fee,-1.0,Bank Charges and Fees,6 077.00,2021-09-24T00:00:00
pos purchase morningside h/ware  [date],-780.0,Home and Garden,8960.89,2023-11-07 00:00:00
card purchase insufficient funds fee,-0.4,Insufficient Funds Fee,-35.92,2021-10-17T00:00:00
sms notification fee,-0.8,Bank Charges and Fees,347.01,2021-10-10T00:00:00
pos purchase [restaurant] [date],-50.0,Eating Out,-50522.52,2023-09-19 00:00:00
mcdonalds gauteng (card ),-115.8,Fast Food & Takeouts,49.19,2021-08-31T00:00:00
pos purchase payd sandton*valid  [date],-20.0,Parking,26252.2,2023-08-15 00:00:00
cash withdrawal fee,-15.0,Bank Charges and Fees,4 196.40,2021-10-29T00:00:00
payment fee,-1.0,Bank Charges and Fees,110.86,2021-09-28T00:00:00
pos purchase [restaurant] [date],-150.0,Eating Out,165157.81,2023-10-24 00:00:00
card purchase insufficient funds fee bank,-0.4,Insufficient Funds Fee,68.13,2021-08-08T00:00:00
pos purchase [grocers] tiffanys  [date],-17.99,Groceries,11438.17,2023-09-26 00:00:00
magtape debit vodacom  i6522327,-646.05,Cellular Data Purchase,-60157.62,2023-08-31 00:00:00
debicheck collection fee,-3.5,Bank Charges and Fees,2 244.33,2021-09-24T00:00:00
#rev slow lounges fee #slow lounge fee rev,300.0,Refund,6832.03,2023-09-04 00:00:00
pos purchase the san lameer mast  [date],-65.0,Holidays and Travel,214.71,2023-08-24 00:00:00
pos purchase [restaurant] [location] [date],-117.0,Eating Out,74887.2,2023-08-25 00:00:00
pos purchase 4th avenue coffee r  [date],-50.0,Coffee,-64409.18,2023-10-26 00:00:00
pos purchase [restaurant] [location] [date],-40.0,Eating Out,13936.43,2023-08-29 00:00:00
live better round-up transfer,-1.21,Savings Transfer,4 544.63,2021-08-29T00:00:00
pos purchase (effec ) yoco *rg car spa kempt card no.,-60.0,General Purchases,-715.02,2023-10-04T00:00:00
pos purchase [garage] greenfields  [date],-52.9,General Purchases,6756.69,2023-08-31 00:00:00
pos purchase pnpasap  [date],-195.98,Groceries,24758.29,2023-10-17 00:00:00
pos purchase smokers joint tradi  [date],-260.0,Tobacco & Smoking,66019.3,2023-10-14 00:00:00
pos purchase [restaurant] [date],-416.1,Eating Out,11920.05,2023-10-17 00:00:00
sms notification fee,-0.4,Bank Charges and Fees,85.66,2021-09-03T00:00:00
#monthly credit fee rebate,69.0,Bank Charges and Fees,10357.66,2023-09-09 00:00:00
int on debit balance,-184.16,Interest Repayment,10289.46,2023-09-09 00:00:00
pos purchase [garage] broederstroom  [date],-96.38,General Purchases,-47065.79,2023-11-14 00:00:00
international processing fee for insufficient funds,-3.0,Insufficient Funds Fee,18.88,2021-10-08T00:00:00
naedo debit order payment (): mix telema (tics ),-134.55,Transport,8 273.11,2021-10-22T00:00:00
immediate payment fee,-7.5,Bank Charges and Fees,6 687.90,2021-09-23T00:00:00
sms notification fee,-2.8,Bank Charges and Fees,1 690.96,2021-08-31T00:00:00
pos purchase snapscan bootlegger  [date],-300.0,Coffee,44168.06,2023-08-31 00:00:00
card purchase insufficient funds fee,-0.4,Insufficient Funds Fee,30.26,2021-09-04T00:00:00
pos purchase waltons morningside  [date],-204.5,General Purchases,2612.15,2023-11-08 00:00:00
pos purchase [restaurant] [date],-377.57,Eating Out,27326.5,2023-11-01 00:00:00
pos purchase jo burg city theatr  [date],-180.0,Entertainment,-41978.32,2023-11-08 00:00:00
pos purchase [restaurant] [date],-1100.0,Eating Out,15913.55,2023-11-14 00:00:00
byc debit,-32.79,Investments,9090.31,2023-10-21 00:00:00
pos purchase [grocers]  [date],-119.46,Groceries,6040.86,2023-09-02 00:00:00
fnb app prepaid airtime,-149.0,Cellular Data Purchase,-57754.91,2023-09-21 00:00:00
eft debit order insufficient funds fee,-7.0,Insufficient Funds Fee,514.95,2021-09-02T00:00:00
pos purchase nitro ltd  [date],-382.96,General Purchases,27198.96,2023-08-18 00:00:00
lotto winnings powerball winnings,19.6,Gambling,19250.33,2023-08-19 00:00:00
pos purchase dischem ballito  [date],-120.06,Health and Medical,14674.12,2023-09-18 00:00:00
#item unpaid no funds 19,-105.0,Insufficient Funds Fee,-63574.45,2023-10-25 00:00:00
mtn midrand (card ),-500.0,Cellular Data Purchase,573.94,2021-08-30T00:00:00
debicheck authentication fee,-1.0,Bank Charges and Fees,6 076.00,2021-09-24T00:00:00
live better round-up transfer,-1.24,Savings Transfer,283.11,2021-10-27T00:00:00
international processing fee for insufficient funds,-3.0,Insufficient Funds Fee,8.68,2021-10-09T00:00:00
fuel purchase bp stegen  s garag  [date],-97.5,General Purchases,5287.64,2023-09-07 00:00:00
fnb app prepaid airtime,-149.0,Cellular Data Purchase,-49869.02,2023-09-18 00:00:00
pizza hut springs mall springs (card ),-55.8,Fast Food & Takeouts,3 835.70,2021-07-28T00:00:00
pos purchase 13.83 uber *trip  [date],-282.62,Transport,24056.88,2023-11-01 00:00:00
pos purchase [restaurant] [date],-365.0,Eating Out,22494.26,2023-10-28 00:00:00
pos purchase [restaurant]  [date],-560.0,Eating Out,-45582.21,2023-11-13 00:00:00
pos purchase [grocers] melmoth  [date],-220.67,Groceries,76308.29,2023-10-05 00:00:00
pos purchase [restaurant] [date],-145.0,Eating Out,-37703.77,2023-11-04 00:00:00
debicheck collection fee,-3.5,Bank Charges and Fees,6 945.40,2021-09-23T00:00:00
pos purchase the magnolia farm t  [date],-820.0,Holidays and Travel,11931.43,2023-08-25 00:00:00
atm cash   *,-300.0,ATM and Cash Withdrawal,-52635.75,2023-08-28 00:00:00
byc debit,-4.7,Savings Transfer,14392.26,2023-09-16 00:00:00
pos purchase [restaurant] [date],-223.0,Eating Out,13784.84,2023-10-17 00:00:00
pos purchase ikh*the gentlemen b  [date],-290.0,Personal Care,71590.86,2023-10-11 00:00:00
fuel purchase [garage] [location] [date],-300.0,Fuel,-52516.43,2023-11-18 00:00:00
recurring card purchase: apple.com/bill itunes.com (card ),-44.99,Subscriptions,98.28,2021-09-09T00:00:00
international processing fee for insufficient funds,-3.0,Insufficient Funds Fee,68.53,2021-08-08T00:00:00
live better interest sweep,-1.2,Savings Transfer,706.93,2021-08-01T00:00:00
payment fee,-1.0,Bank Charges and Fees,224.04,2021-11-05T00:00:00
atm cash   *,-500.0,ATM and Cash Withdrawal,11283.62,2023-09-09 00:00:00
payment fee,-1.0,Bank Charges and Fees,178.91,2021-11-01T00:00:00
magtape debit discinsure-,-61.85,Auto Insurance,12907.91,2023-10-26 00:00:00
byc debit,-7.0,Savings Transfer,19375.97,2023-09-09 00:00:00
debicheck authentication sms fee,-0.4,Bank Charges and Fees,205.46,2021-09-09T00:00:00
card purchase insufficient funds fee,-0.4,Insufficient Funds Fee,-11.14,2021-09-08T00:00:00
pos purchase stormvoel  [date],-11.0,Transport,44468.06,2023-08-31 00:00:00
pos purchase ikh*unicorn slime b  [date],-180.0,General Purchases,86597.76,2023-10-04 00:00:00
magtape credit disc memb -,1011.0,Health Insurance,78014.74,2023-10-19 00:00:00
#service fees #int pymt fee-499.99 appl,-10.0,Bank Charges and Fees,-46491.41,2023-11-14 00:00:00
pos purchase [grocers] crp doringkloof  [date],-207.95,Groceries,6528.61,2023-09-02 00:00:00
pos purchase (effec ) the sweetpoint areo kempt card no.,-245.95,Fast Food & Takeouts,259.59,2023-09-10T00:00:00
pos purchase jj cale morningside  [date],-1128.0,Tobacco & Smoking,16056.83,2023-10-30 00:00:00
eft debit order payment (): ffw ins ( nov),657.47,Life Insurance,1 226.63,2021-10-25T00:00:00
pos purchase flm waterfall ridge  [date],-950.0,Groceries,10221.31,2023-10-24 00:00:00
od: ledger fee,-69.0,Bank Charges and Fees,8 216.60,2023-10-01T00:00:00
cash withdrawal fee,-7.5,Bank Charges and Fees,23.36,2021-10-17T00:00:00
pos purchase vodacom*hakuna mata  [date],-135.0,Cellular Data Purchase,6422.64,2023-09-08 00:00:00
debit order dispute fee,-5.0,Bank Charges and Fees,250.36,2021-11-01T00:00:00
pos purchase r & m meats  [date],-1647.3,Groceries,-21549.88,2023-10-31 00:00:00
#bidvest domest fee #bidvest domestic fee 62584886926k,-300.0,Bank Charges and Fees,8659.58,2023-08-31 00:00:00
pos purchase flm ballito  [date],-816.07,Groceries,7118.45,2023-09-28 00:00:00
pos purchase dashpay*ccm facilit  [date],-49.5,General Purchases,10146.27,2023-11-07 00:00:00
"overseas purchase ( 4,00 ) (effec ) netflix.com los g card no.",-159.0,Subscriptions,250.59,2023-09-12T00:00:00
pos purchase [restaurant] [date],-184.4,Eating Out,7119.38,2023-11-15 00:00:00
pos purchase dashpay*ccm facilit  [date],-49.5,General Purchases,15673.74,2023-10-16 00:00:00
pos purchase wd *bnei akiva  [date],-300.0,General Purchases,24903.38,2023-10-28 00:00:00
international processing fee for insufficient funds,-3.0,Insufficient Funds Fee,-52.52,2021-10-20T00:00:00
pos purchase [restaurant] *wozza meat  [date],-80.0,Groceries,14016.43,2023-08-29 00:00:00
pos purchase gautrain ctls local  [date],-206.0,Transport,9933.81,2023-11-06 00:00:00
fx transfers debit r023vf8st0 a zar (proteccion),-660.64,Bank Transfer,37782.7,2023-10-12 00:00:00
pos purchase 4th avenue coffee r  [date],-85.0,Coffee,-35563.24,2023-11-03 00:00:00
pos purchase [restaurant] [date],-150.0,Eating Out,2719.62,2023-09-20 00:00:00
pos purchase 19.99 apple.com/bil  [date],-19.99,Subscriptions,-41184.32,2023-11-07 00:00:00
sms notification fee,-0.8,Bank Charges and Fees,26.72,2021-07-25T00:00:00
pos purchase servest morningside  [date],-15.0,Parking,7387.78,2023-11-15 00:00:00
pos purchase (effec ) kwikspar one stop edlee card no.,-260.07,Groceries,-174.68,2023-10-11T00:00:00
pos purchase [restaurant] *servest par  [date],-15.0,Parking,26232.2,2023-08-15 00:00:00
pos purchase crazy store o4  [date],-79.97,General Purchases,165307.81,2023-10-24 00:00:00
international processing fee for insufficient funds,-3.0,Insufficient Funds Fee,67.08,2021-10-05T00:00:00
pos purchase [restaurant] [date],-238.22,Eating Out,22978.68,2023-08-21 00:00:00
fuel purchase [garage] [location] [date],-400.0,Fuel,-54810.42,2023-09-19 00:00:00
debicheck internal d/o fnbcc dcre603971,-6094.0,Debit Order,544.76,2023-09-01 00:00:00
pos purchase uber sa help.uber.c  [date],-10.0,Transport,165387.78,2023-10-24 00:00:00
magtape debit discinsure4002840983-,-1998.1,Auto Insurance,18171.13,2023-10-30 00:00:00
debit order dispute fee,-5.0,Bank Charges and Fees,5 134.79,2021-08-31T00:00:00
magtape debit club mcc  sep sep,-52.0,General Insurance,31699.69,2023-09-30 00:00:00
international processing fee for insufficient funds,-3.0,Insufficient Funds Fee,99.26,2021-09-29T00:00:00
debicheck authentication sms fee,-0.4,Bank Charges and Fees,10.83,2021-08-17T00:00:00
pos purchase [restaurant] *servest par  [date],-10.0,Parking,22833.9,2023-09-06 00:00:00
pos purchase [restaurant] [location] [date],-482.0,Eating Out,74405.2,2023-08-25 00:00:00
international processing recurring card purchase fee: apple.com/bill,-1.0,Bank Charges and Fees,8 430.92,2021-10-23T00:00:00
sms notification fee,-1.2,Bank Charges and Fees,347.16,2021-10-24T00:00:00
magtape debit bsure cc l bsure rf1lhhvd,-169.0,Debit Order,70204.12,2023-10-02 00:00:00
live better round-up transfer,-2.34,Savings Transfer,46.85,2021-09-02T00:00:00
pos purchase [restaurant] [date],-120.0,Eating Out,-53021.45,2023-08-28 00:00:00
#service fees #int pymt fee-14.99 apple,-0.3,Bank Charges and Fees,-52516.73,2023-11-20 00:00:00
pos purchase hpy*smart fix  [date],-2499.0,General Purchases,3509.48,2023-11-15 00:00:00
debit order fee,-3.5,Bank Charges and Fees,8 269.61,2021-10-22T00:00:00
fuel purchase [garage] [location] [date],-300.0,Fuel,9560.63,2023-08-28 00:00:00
debicheck authentication sms fee,-0.4,Bank Charges and Fees,95.46,2021-09-29T00:00:00
card purchase insufficient funds fee,-0.4,Insufficient Funds Fee,12.86,2021-09-07T00:00:00
eft debit order insufficient funds fee,-7.0,Insufficient Funds Fee,332.87,2021-09-25T00:00:00
#monthly account fee,-550.0,Bank Charges and Fees,23204.67,2023-11-10 00:00:00
[restaurant] northmead squar gauteng (card ),-39.9,Fast Food & Takeouts,435.16,2021-10-30T00:00:00
schedu airtime topup to airtime,-10.0,Cellular Data Purchase,1013.36,2023-11-01 00:00:00
fnb app payment to $*@#)(,-185.0,Bank Transfer,12205.84,2023-10-23 00:00:00
magtape debit disclife -,-15853.35,Life Insurance,21054.67,2023-11-07 00:00:00
pos purchase midas monza centre  [date],-282.9,Home and Garden,73871.64,2023-10-07 00:00:00
pos purchase 4th avenue coffee r  [date],-85.0,Coffee,-48420.38,2023-11-15 00:00:00
eft debit order insufficient funds fee,-7.0,Insufficient Funds Fee,103.86,2021-09-28T00:00:00
pos purchase zapper1*atom gas  [date],-637.36,Home and Garden,58456.63,2023-10-10 00:00:00
lotto winnings lotto winnings vodsrt97gdbl,151.1,Gambling,21799.36,2023-10-30 00:00:00
sms notification fee,-0.4,Bank Charges and Fees,4 699.00,2021-07-29T00:00:00
cash withdrawal dnr springs mall 6 springs gtza,-450.0,ATM and Cash Withdrawal,5 555.20,2021-07-28T00:00:00
fnb app prepaid airtime,-149.0,Cellular Data Purchase,-49338.02,2023-09-16 00:00:00
pos purchase mica parktown north  [date],-40.0,Home and Garden,-34033.25,2023-11-02 00:00:00
magtape credit *odinfin life (pty) ltd,10000.0,Investments,15118.45,2023-09-29 00:00:00
pos purchase [restaurant] [location] [date],-611.97,Eating Out,-41146.34,2023-11-07 00:00:00
recurring card purchase: apple.com/bill itunes.com (card ),-59.99,Subscriptions,498.13,2021-11-04T00:00:00
pos purchase [restaurant] [location] [date],-166.7,Eating Out,75602.89,2023-10-06 00:00:00
pos purchase [restaurant] [date],-753.5,Eating Out,74289.39,2023-10-06 00:00:00
pos purchase zapper1*yoyo sa ser  [date],-294.25,General Purchases,6716.89,2023-09-08 00:00:00
pos purchase yoco *mr pants wi  [date],-510.0,Alcohol,67199.16,2023-11-13 00:00:00
pos purchase oaklands service st  [date],-74.0,General Purchases,-41708.32,2023-11-08 00:00:00
magtape debit virgin  netcash,-729.5,Personal Care,39459.56,2023-09-01 00:00:00
fnb app prepaid airtime,-149.0,Cellular Data Purchase,-59949.8,2023-09-05 00:00:00
pos purchase 109.99 apple.com/bi  [date],-109.99,Subscriptions,-54694.34,2023-11-20 00:00:00
pos purchase young health centr5  [date],-50.0,General Purchases,-50422.52,2023-09-19 00:00:00
pos purchase (effec ) c*dischem glen marais kempt card no.,-585.65,Health and Medical,25 687.19,2023-10-18T00:00:00
pos purchase jj cale morningside  [date],-1128.0,Tobacco & Smoking,10926.93,2023-10-25 00:00:00
eft debit order payment (): ffw ins ( oct),657.47,Life Insurance,586.86,2021-09-25T00:00:00
atm cash withdrawal absa mall of africa 1 johannesburg gtza,-50.0,ATM and Cash Withdrawal,368.67,2021-11-04T00:00:00
pos purchase [restaurant] [date],-376.0,Eating Out,-62907.02,2023-09-14 00:00:00
payment received dispute cartrack  10/11/,200.0,Returned Debit Order,5 139.79,2021-08-31T00:00:00
fuel purchase [garage] [location] [date],-200.0,Fuel,83928.96,2023-10-04 00:00:00
pos purchase [restaurant] [date],-719.0,Eating Out,-59583.9,2023-11-22 00:00:00
pos purchase (effec ) [grocers] fam elgin kempt card no.,-181.37,Groceries,25 442.21,2023-10-20T00:00:00
pos purchase (effec ) [grocers] fam elgin kempt card no.,-65.37,Groceries,-555.94,2023-09-14T00:00:00
realtime credit mfrf one,984.14,General Insurance,73237.91,2023-10-09 00:00:00
sms notification fee,-3.6,Bank Charges and Fees,5 293.10,2021-07-28T00:00:00
international processing recurring card purchase fee: apple.com/bill,-1.0,Bank Charges and Fees,143.27,2021-09-09T00:00:00
#monthly credit fee rebate,69.0,Refund,23368.55,2023-11-10 00:00:00
international processing fee for insufficient funds,-3.0,Insufficient Funds Fee,13.66,2021-09-06T00:00:00
pos purchase v018-edg ballito ju  [date],-549.98,Clothing,16094.06,2023-09-18 00:00:00
pos purchase snapscan bootlegger  [date],-75.0,Coffee,25075.66,2023-09-04 00:00:00
pos purchase [grocers] fresh x ol  [date],-209.98,Groceries,-58901.88,2023-09-23 00:00:00
international processing fee for limit exceeded: gotinder.com/help le,-3.0,Spend Limit Exceeded Fee,703.53,2021-08-01T00:00:00
magtape debit berader duxsec duxber sec,-1755.0,Debit Order,10195.77,2023-11-07 00:00:00
pos purchase yoco *the drum ar  [date],-569.25,General Purchases,-57451.83,2023-09-09 00:00:00
pos purchase waterkloof golf clu  [date],-130.0,Entertainment,68405.12,2023-10-02 00:00:00
#monthly account fee,-550.0,Bank Charges and Fees,5964.52,2023-09-21 00:00:00
payment fee capitec,-1.0,Bank Charges and Fees,2 786.40,2021-10-29T00:00:00
pos purchase [grocers] craighall park  [date],-53.98,Groceries,-55001.43,2023-08-29 00:00:00
atm cash   *,-2000.0,ATM and Cash Withdrawal,20169.23,2023-10-30 00:00:00
banking app prepaid purchase vodacom,-30.0,Cellular Data Purchase,348.86,2021-10-24T00:00:00
pos purchase [restaurant]  [date],-512.49,Eating Out,-51626.95,2023-11-16 00:00:00
yoco *clyrobuzz pty johannesburg (card ),-99.0,General Purchases,690.86,2021-10-30T00:00:00
int on credit balance,41.15,Interest Received,38076.84,2023-11-30 00:00:00
pos purchase bean there coffee  [date],-50.0,Coffee,-51803.82,2023-08-26 00:00:00
pos purchase jo burg city theatr  [date],-125.0,Entertainment,-58390.94,2023-11-22 00:00:00
l107 lgt mall of afr midrand (card ),-89.98,Clothing,424.97,2021-08-31T00:00:00
pos purchase 139.00 disney plus  [date],-139.0,Subscriptions,64148.03,2023-10-03 00:00:00
pos purchase [restaurant]  [date],-612.0,Eating Out,-28389.28,2023-11-01 00:00:00
pos purchase [garage] kathrada conv  [date],-95.4,General Purchases,13449.82,2023-09-15 00:00:00
card purchase insufficient funds fee,-0.4,Insufficient Funds Fee,70.08,2021-10-05T00:00:00
recurring card purchase: apple.com/bill itunes.com (card ),-59.99,Subscriptions,144.27,2021-09-09T00:00:00
markham springs (card ),-600.0,Clothing,3 235.70,2021-07-28T00:00:00
pos purchase [restaurant] [date],-940.0,Eating Out,-54947.45,2023-08-28 00:00:00
payment received t,500.0,Bank Transfer,1 486.40,2021-10-30T00:00:00
sms notification fee device:,-2.8,Bank Charges and Fees,1 483.60,2021-10-30T00:00:00
pos purchase [restaurant]  [date],-170.0,Eating Out,-52004.43,2023-11-17 00:00:00
pos purchase 14.99 apple.com/bil  [date],-14.99,Subscriptions,-54504.36,2023-11-20 00:00:00
pos purchase [grocers] craighall park  [date],-213.18,Groceries,-5294.59,2023-10-30 00:00:00
online purchase: payd pay at masterpass stellenbosch (card ),-416.9,Online Purchase,18.26,2021-10-30T00:00:00
international processing fee for insufficient funds,-3.0,Insufficient Funds Fee,-45.72,2021-10-18T00:00:00
#service fees #int pymt fee-199.99 appl,-4.0,Bank Charges and Fees,7950.77,2023-11-07 00:00:00
schedu airtime topup to airtime,-12.0,Cellular Data Purchase,1001.36,2023-11-01 00:00:00
pos purchase umhlali country clu  [date],-645.0,Entertainment,22388.84,2023-09-12 00:00:00
pos purchase motherland coffee c  [date],-30.0,Coffee,9210.06,2023-08-30 00:00:00
fnb app prepaid airtime,-149.0,Cellular Data Purchase,-61735.62,2023-09-01 00:00:00
international online purchase insufficient funds fee,-0.4,Insufficient Funds Fee,9.43,2021-08-18T00:00:00
pos purchase (effec ) [grocers] fam elgin kempt card no.,-15.99,Groceries,85.39,2023-10-10T00:00:00
pos purchase [grocers]  [date],-671.78,Groceries,9217.08,2023-08-30 00:00:00
#monthly credit fee,-69.0,Bank Charges and Fees,5483.52,2023-09-21 00:00:00
#item unpaid no funds 17,-105.0,Insufficient Funds Fee,-59154.71,2023-09-01 00:00:00
debicheck authentication fee,-1.0,Bank Charges and Fees,9.83,2021-08-17T00:00:00
pos purchase (effec ) steelmate spartan kempt card no.,-539.6,General Purchases,38 902.61,2023-10-26T00:00:00
pos purchase [restaurant] [location] [date],-69.8,Eating Out,23344.41,2023-10-14 00:00:00
internal debit order fnblife dp06lp26,-254.73,Life Insurance,-63829.18,2023-10-25 00:00:00
pos purchase [restaurant] [location] [date],-355.0,Eating Out,-56095.97,2023-09-20 00:00:00
pos purchase [restaurant]  [date],-319.9,Eating Out,-64932.06,2023-10-26 00:00:00
recurring card purchase: apple.com/bill itunes.com (card ),-59.99,Subscriptions,4 561.64,2021-08-29T00:00:00
pos purchase [grocers] harding  [date],-203.77,Groceries,70018.89,2023-10-20 00:00:00
#service fees #int pymt fee-14.99 apple,-0.3,Bank Charges and Fees,-54810.72,2023-09-20 00:00:00
international processing fee for insufficient funds,-3.0,Insufficient Funds Fee,-4.92,2021-10-11T00:00:00
pos purchase [restaurant] [location] [date],-192.99,Eating Out,-58894.42,2023-09-11 00:00:00
payment received,250.0,Bank Transfer,428.91,2021-11-01T00:00:00
international processing online purchase fee: netflix.com,-1.0,Bank Charges and Fees,523.94,2021-08-31T00:00:00
spur gauteng (card ),-280.0,Restaurants,311.86,2021-09-24T00:00:00
pos purchase the san lameer mast  [date],-230.0,Holidays and Travel,20877.09,2023-08-23 00:00:00
international processing fee for insufficient funds,-3.0,Insufficient Funds Fee,-8.32,2021-10-12T00:00:00
sms notification fee,-1.2,Bank Charges and Fees,1 630.43,2021-07-30T00:00:00
pos purchase bbs ballito cc  [date],-1594.87,General Purchases,14969.88,2023-09-26 00:00:00
fuel purchase [garage] [location] [date],-400.0,Fuel,-33844.25,2023-11-01 00:00:00
pos purchase servest parking net  [date],-10.0,Parking,7894.76,2023-10-21 00:00:00
pos purchase [grocers] express mvoti  [date],-108.7,Groceries,11011.09,2023-09-23 00:00:00
pos purchase fisherman's deli du  [date],-104.52,Groceries,-59738.42,2023-11-23 00:00:00
pos purchase [grocers]  [date],-747.96,Groceries,-57700.94,2023-11-21 00:00:00
international processing fee for insufficient funds,-3.0,Insufficient Funds Fee,9.86,2021-09-07T00:00:00
pos purchase parkhurst mini mart  [date],-68.0,General Purchases,-55864.59,2023-09-08 00:00:00
pos purchase [garage] parkhurst cor  [date],-70.6,General Purchases,-55696.23,2023-09-07 00:00:00
pos purchase 139.99 apple.com/bi  [date],-139.99,Subscriptions,-54959.32,2023-11-20 00:00:00
pos purchase 79.99 apple.com/bil  [date],-79.99,Subscriptions,-58545.57,2023-08-30 00:00:00
pos purchase [grocers] harding  [date],-145.88,Groceries,66941.87,2023-10-13 00:00:00
#service fees #int pymt fee-69.99 apple,-1.4,Bank Charges and Fees,12219.09,2023-09-15 00:00:00
lotto winnings lotto winnings vodsb8nhsb1k,20.0,Gambling,25128.86,2023-08-14 00:00:00
pos purchase 79.99 apple.com/bil  [date],-79.99,Subscriptions,-54584.35,2023-11-20 00:00:00
pos purchase [grocers] melmoth  [date],-437.7,Groceries,86160.06,2023-10-04 00:00:00
pos purchase 17.99 apple.com/bil  [date],-17.99,Subscriptions,-41164.33,2023-11-07 00:00:00
pos purchase the dead rabbits di  [date],-270.0,Alcohol,-62242.02,2023-09-13 00:00:00
card purchase insufficient funds fee,-0.4,Insufficient Funds Fee,-32.52,2021-10-16T00:00:00
pos purchase [grocers] fam craighall p  [date],-77.48,Groceries,-51114.46,2023-11-16 00:00:00
pos purchase ik *sugar cane juic  [date],-70.0,General Purchases,8114.03,2023-09-05 00:00:00
pos purchase zapper1*the smokin  [date],-175.0,Tobacco & Smoking,8724.03,2023-09-05 00:00:00
pos purchase [restaurant] [date],-1365.0,Eating Out,-50916.28,2023-11-15 00:00:00
pos purchase [restaurant] [location] [date],-104.7,Eating Out,75769.59,2023-10-06 00:00:00
card purchase insufficient funds fee,-0.4,Insufficient Funds Fee,70.96,2021-10-26T00:00:00
pos purchase bryanston country c  [date],-815.0,Sport,8145.89,2023-11-07 00:00:00
card purchase insufficient funds fee,-0.4,Insufficient Funds Fee,98.86,2021-09-29T00:00:00
pos purchase 69.99 apple.com/bil  [date],-69.99,Subscriptions,2341.88,2023-10-19 00:00:00
